date,daily_pnl,n_trades,sentiment_value,classification
2024-06-17,10599.502375,26,71,Greed
2024-06-18,282.57636,4,74,Greed
2024-06-19,4887.656944,31,64,Greed
2024-06-21,773.5582039999999,3,63,Greed
2024-06-22,756.876565,8,53,Neutral
2024-06-25,4869.353105,11,30,Fear
2024-06-26,4197.732182,21,46,Neutral
2024-06-29,6150.326145,24,30,Fear
2024-07-01,5058.020506,20,53,Neutral
2024-07-02,2399.053116,8,51,Neutral
2024-07-03,1118.387284,4,50,Neutral
2024-07-10,11595.627026,33,28,Fear
2024-07-11,1876.812082,9,29,Fear
2024-07-12,1412.314654,9,25,Fear
2024-07-13,2678.839374,13,25,Fear
2024-07-18,2569.979964,41,61,Greed
2024-07-19,2120.091364,11,60,Greed
2024-07-20,129.66130099999998,4,74,Greed
2024-07-22,1879.518808,12,70,Greed
2024-07-23,88084.992348,229,71,Greed
2024-07-25,916.7382600000001,10,68,Greed
2024-07-26,2425.262989,29,68,Greed
2024-07-27,6400.623656,42,72,Greed
2024-07-29,112.946925,11,74,Greed
2024-08-02,554.12049,5,57,Greed
2024-08-04,-108604.496278,60,34,Fear
2024-08-05,-13291.858407,6,26,Fear
2024-08-09,17930.978901,40,48,Neutral
2024-08-11,847.7766200000001,4,39,Fear
2024-08-12,858.6705000000001,6,25,Fear
2024-08-13,212.08102,8,31,Fear
2024-08-14,2168.9015130000003,5,30,Fear
2024-08-16,825.230544,3,27,Fear
2024-08-18,307.201888,12,31,Fear
2024-08-19,339.69958299999996,5,28,Fear
2024-08-20,192.602844,1,30,Fear
2024-08-23,1005.30527,3,34,Fear
2024-08-26,231.236918,2,55,Greed
2024-08-28,1333.359645,2,30,Fear
2024-08-30,256.464,1,34,Fear
2024-09-04,1065.785132,8,27,Fear
2024-09-20,9585.03428,9,54,Neutral
2024-09-21,36165.56933,23,54,Neutral
2024-09-23,334.760796,1,50,Neutral
2024-09-26,439.812513,2,50,Neutral
2024-09-30,2710.626288,5,61,Greed
2024-10-05,5767.161892,24,49,Neutral
2024-10-06,130.487079,5,50,Neutral
2024-10-08,5396.546638,33,49,Neutral
2024-10-09,396.06272,3,49,Neutral
2024-10-11,8885.327477,18,32,Fear
2024-10-12,541.55471,7,49,Neutral
2024-10-14,1913.61958,5,48,Neutral
2024-10-15,1170.2260760000001,4,65,Greed
2024-10-16,219.480876,3,73,Greed
2024-10-17,36.11496,2,71,Greed
2024-10-18,333.219141,5,73,Greed
2024-10-20,229.060526,5,73,Greed
2024-10-23,-46.489941,3,71,Greed
2024-10-25,13235.862071,21,72,Greed
2024-10-27,666.6623079999999,3,74,Greed
2024-10-31,765.475192,23,77,Extreme Greed
2024-11-01,1040.5747959999999,2,75,Extreme Greed
2024-11-04,2259.351364,13,70,Greed
2024-11-05,678.4759280000001,5,70,Greed
2024-11-06,2821.24842,7,70,Greed
2024-11-07,628.96246,1,77,Extreme Greed
2024-11-08,646.3734049999999,6,75,Extreme Greed
2024-11-10,548.36595,6,78,Extreme Greed
2024-11-11,1479.677222,9,76,Extreme Greed
2024-11-12,2053.119744,12,80,Extreme Greed
2024-11-13,7680.907897,16,84,Extreme Greed
2024-11-14,2348.106228,14,88,Extreme Greed
2024-11-15,2003.536586,33,80,Extreme Greed
2024-11-16,255.14686999999998,7,86,Extreme Greed
2024-11-17,546.624374,8,90,Extreme Greed
2024-11-18,3158.176614,15,83,Extreme Greed
2024-11-19,1573.210981,15,90,Extreme Greed
2024-11-20,2259.775633,16,83,Extreme Greed
2024-11-21,909.745283,4,82,Extreme Greed
2024-11-22,-19401.98745,24,94,Extreme Greed
2024-11-24,445.338356,5,80,Extreme Greed
2024-11-25,5059.459732,10,82,Extreme Greed
2024-11-26,1603.1,12,79,Extreme Greed
2024-11-27,-2848.159792,37,75,Extreme Greed
2024-11-28,-131096.684429,88,77,Extreme Greed
2024-11-29,610.52512,1,78,Extreme Greed
2024-11-30,850.54514,5,84,Extreme Greed
2024-12-01,337.835516,16,81,Extreme Greed
2024-12-02,754.7378,6,80,Extreme Greed
2024-12-03,10172.291321,51,76,Extreme Greed
2024-12-04,324.614126,8,78,Extreme Greed
2024-12-05,1435.68724,2,84,Extreme Greed
2024-12-06,-168404.684788,54,72,Greed
2024-12-07,2342.996384,4,75,Extreme Greed
2024-12-08,-21.54374,2,79,Extreme Greed
2024-12-09,2350.515482,11,78,Extreme Greed
2024-12-10,7620.880654,159,78,Extreme Greed
2024-12-11,2690.950241,20,74,Greed
2024-12-12,2101.053719,40,83,Extreme Greed
2024-12-13,17337.023971,216,76,Extreme Greed
